@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"Purtroppo una vittima a Bondeno (Fe)per crollo di un capannone industriale #terremoto unfortunate victim Bondeno_(Gonzaga) mass_wasting Slump_(geology) outbuilding shed architectural_engineering industrial geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography","5","1","0","85","13","1","1"
"Terremoto in Abruzzo I morti finora sono 27 http://ff.im/1WML4 geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature change death biology faith being property process_(computing) event_(philosophy) philosophy as_yet","4","1","0","62","12","0","1"
"#alluvione #Senigallia, 2 le vittime. Un 86enne d'infarto, un 83enne ipovedente a Borgo Bicchia, disperso e poi trovato morto geological_phenomenon flood hydrology rain natural_disaster river water phenomenon unfortunate victim pathology infarction settlement village administrative_division settlement residential_area City laggard straggler encounter change death biology faith being property process_(computing) event_(philosophy) philosophy","7","5","0","125","20","2","1"
"#terremoto Finale Emilia crollo  di un'abitazione dopo  l'ultima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography quality ultimate comune Finale_Emilia Historical_region Emilia_(region_of_Italy) happening crash building house home Structure residential_building reflex shock","3","2","0","71","11","1","1"
"3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto refugee displaced_person legal_entity change death biology faith being property process_(computing) event_(philosophy) philosophy sad record balance_sheet document document document document process_(computing) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography","5","1","0","78","13","1","1"
"PERICOLO!! #terremoto #xrum CROLLO SOFFITTO http://t.co/S35f1VOK danger risk event_(philosophy) management geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography mass_wasting Slump_(geology) upper_surface ceiling Bauteil_(Technik)","4","2","0","64","9","2","1"
"#Terremoto: vigile del fuoco investito dal crollo durante l'umtima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography police_matron meter_maid authority police_officer defender firefighter profession laborer rescuer combustion fire oxidation expend invest mass_wasting Slump_(geology) reflex shock","5","2","0","73","11","1","1"
"Terremoto: nuovo bilancio,235 morti: Sono 235 le vittime del terremoto che ha colpito l'Abruzzo, stando a un nuo.. http://tinyurl.com/cf5dbh geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography new record balance_sheet document document document document process_(computing) change death biology faith being property process_(computing) event_(philosophy) philosophy unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography touch hit Italian_region Abruzzi_e_Molise Geographical_feature hold_out stand","6","3","1","140","24","0","1"
"Siete nel mio cuore...alluvione nelle Marche: 2 morti a #Senigallia. In migliaia senza corrente, decine gli sfollati http://t.co/F0PuYKxyO1 internal_organ heart organ terminology Italian_region Marche change death biology faith being property process_(computing) event_(philosophy) philosophy comune Senigallia town large_integer 1000 integer number Hyperperfect_number electrical_phenomenon electric_current electricity scalar extensive_physical_property large_indefinite_amount oodles refugee displaced_person legal_entity","10","2","0","139","22","1","1"
"Terremoto: costruzioni antisismiche? Crollate: Il nuovo Ospedale, la Prefettura, la Casa dello Studente, sono s.. http://tinyurl.com/dnjn7k geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography creating_from_raw_materials construction event_(probability_theory) group_event antiseismic new health_facility hospital institution health_facility administrative_division prefecture jurisdiction building house home Structure residential_building dormitory hall_of_residence assimilator student enrollee person","7","2","0","139","19","0","1"
