@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"Il #terremoto stavolta ha fatto morti...","1","2","0","40","6","1","1"
"Purtroppo una vittima a Bondeno (Fe)per crollo di un capannone industriale #terremoto","5","1","0","85","13","1","1"
"Terremoto in Abruzzo I morti finora sono 27 http://ff.im/1WML4","4","1","0","62","12","0","1"
"#alluvione #Senigallia, 2 le vittime. Un 86enne d'infarto, un 83enne ipovedente a Borgo Bicchia, disperso e poi trovato morto","7","5","0","125","20","2","1"
"#terremoto Finale Emilia crollo  di un'abitazione dopo  l'ultima scossa","3","2","0","71","11","1","1"
"3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto","5","1","0","78","13","1","1"
"PERICOLO!! #terremoto #xrum CROLLO SOFFITTO http://t.co/S35f1VOK","4","2","0","64","9","2","1"
"#Terremoto: vigile del fuoco investito dal crollo durante l'umtima scossa","5","2","0","73","11","1","1"
"Mi chiedo come sia possibile, dopo la scossa delle 22.20, che nessuno abbia fatto indagini per evitare i morti della scossa successiva!","3","5","3","135","23","0","1"
"Terremoto: nuovo bilancio,235 morti: Sono 235 le vittime del terremoto che ha colpito l'Abruzzo, stando a un nuo.. http://tinyurl.com/cf5dbh","6","3","1","140","24","0","1"
"Siete nel mio cuore...alluvione nelle Marche: 2 morti a #Senigallia. In migliaia senza corrente, decine gli sfollati http://t.co/F0PuYKxyO1","10","2","0","139","22","1","1"
"Terremoto: costruzioni antisismiche? Crollate: Il nuovo Ospedale, la Prefettura, la Casa dello Studente, sono s.. http://tinyurl.com/dnjn7k","7","2","0","139","19","0","1"
"Ultim'ora, Terremoto Abruzzo: almeno 70 morti, paesi distrutti, molti dispersi tra le macerie.","6","1","0","94","14","0","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Maroni: oltre 50 i morti: Lo afferma il ministro dell'Interno, i.. http://tinyurl.com/clnl9r","7","1","2","126","20","0","1"
"Però son crollate chiese e campanili: non tutti i mali vengono per nuocere! #terremoto","1","5","0","87","14","1","1"
"Un anziano morto per infarto dopo bomba d'acqua a #Senigallia #Marche Ambulanza bloccata e il medico l'ha raggiunto col verricello ma tardi","8","4","0","139","24","2","1"
"un morto nel ferrarese. #terremoto","2","1","0","34","5","1","1"
"il terremoto ha fatto più danni dei tedeschi","3","1","0","45","8","0","1"
"Venuto giù un pezzo di duomo #terremoto #mirandola","2","4","0","51","8","2","1"
"Terremoto Abruzzo: lo sport piange le sue vittime: Fonte: Il TempoMentre e' ancora disperso il giovane pilone de.. http://tinyurl.com/cetlwt","7","2","0","140","22","0","1"
"5 morti per il #terremoto !","1","2","0","27","5","1","1"
"ho notizie di danni a san felice sul panaro. Ancora situazione caotica #terremoto","5","2","0","81","13","1","1"
"#terremoto #mantova  segnalati danni a Moglia","2","4","0","45","6","2","1"
"2 morti nel #terremoto di stanotte...senza parole","3","1","0","49","8","1","1"
"Terremoti - primo bilancio, tredici persone morte: Le vittime del terremoto che ha colpito la zona di L'Aquila s.. http://tinyurl.com/cmejdy","7","2","1","140","23","0","1"
"Terremoto - dispersi ancora tra i 20 e i 30: All'Aquila e dintorni ci sono ancora tra le venti e le trenta perso.. http://tinyurl.com/dzapta","3","3","1","140","27","0","1"
"#emilia 4 morti e 50 feriti per il terremoto, è sconvolgente ragazzi :(","4","3","0","72","11","1","1"
"Il Bisagno esplode, notte di terrore e morte a #Genova. Abitanti in fuga ai piani alti delle casehttp://t.co/9oYa45kpoq #AlluvioneGenova","10","0","0","136","22","2","1"
"Morta di #terremoto a 103 anni..nel ferrarese","4","2","0","45","8","1","1"
"Insomma, anche se si tratta di un #terremoto anche questi sono morti sul lavoro.","2","3","2","80","14","1","1"
"Terremoto:Vito, 250 Vittime (17 Da Identificare),11 Dispersi,1179 Feriti http://tinyurl.com/cejae4","7","0","0","98","15","0","1"
"Ci mancava il terremoto! Speriamo che i morti rimangano solo 5!","2","3","1","63","11","0","1"
"2 feriti a Sant'Agostino.. #terremoto.. :((","2","1","0","43","6","1","1"
"Qui a Poviglio il #terremoto si e fatto sentire qualche danno e tanta paura","4","3","1","75","14","1","1"
"#AlluvioneGenova Le auto alluvionate vengono depositate in piazzale Kennedy fotografate e pubblicate su: http://t.co/8Mkt39WKfS","4","5","0","127","17","1","1"
"sono vicina a tutte le vittime e i feriti  del #terremoto","2","2","0","57","11","1","1"
"Ci mancava solo il terremoto! D: 4 Morti! :(","4","1","1","44","8","0","1"
"#terremoto pare crollata la torre dell'orologio di Poggio Renatico. Test da Poggio?","6","3","0","83","13","1","1"
"#terremotoBO #Terremoto conferma un morto a Bondeno e 2 feriti a S Agostino","7","2","0","75","13","2","1"
"Crolli in fabbriche a Bondeno? #terremoto","3","1","0","41","6","1","1"
"3 morti a causa del terremoto nel ferrarese.. Pare lavoratori in fabbrica","5","1","0","73","12","0","1"
"Terremoto Abruzzo - sale il bilancio, 179 morti e 34 dispersi: E' salito a 179 morti, di cui 40 ancora da identi.. http://tinyurl.com/cq3ru7","8","2","1","140","25","0","1"
"#Terremoto in Emilia, danni principali nelle provincie di Modena e Ferrara.","7","1","0","75","11","1","1"
"Terremoto in Abruzzo, morti altri 4 ragazzi: il numero delle ...: Fonte: Gazzetta di ParmaSale ancora il numero .. http://tinyurl.com/dkwz9d","7","1","0","140","21","0","1"
"È ufficiale un morto a #bondeno.. #terremoto","2","2","0","45","6","2","1"
"+++++BONDENO, RITROVATO MORTO IL DISPERSO+++++ fonte Rainews #TERREMOTO #bondeno","8","1","0","80","9","2","1"
"#terremoto un morto nel ferrarese. ..","2","1","0","37","5","1","1"
"Un operaio che lavorava nel capannone crollato #terremoto","3","3","1","57","8","1","1"
"fare visita a tua nonna una sera e vederti crollare i palazzi addosso #Terremoto","6","3","0","80","14","1","1"
"“@SkyTG24: #UltimOra Nubifragio nelle #Marche, sala a due il bilancio dei morti a #Senigallia http://t.co/zF1ue24tmr” un disastro","10","3","0","133","20","3","1"
"#PNEWS: #Maltempo.Fango e bombe d’acqua causano alluvione nelle #Marche. Due morti a #Senigallia. Stato ancora di allerta.","11","4","0","124","19","4","1"
"Terremoto in Abruzzo: 150 morti, 1500 feriti, 50mila sfollati. Flagello grandine http://www.adnkronos.com/IGN/Cronaca/?id=3.0.3184790442","7","0","0","136","21","0","1"
"Fortissima scossa di terremoto nella notte, con epicentro vicino ad Arischia.  Crolli e seri danni all'Aquila e provincia.","8","1","0","122","19","0","1"
"Modena crollate alcune case #terremoto #modena","2","3","0","46","6","2","1"
"immagini sempre più strazianti dall'abruzzo....centinaia di morti e paesi spazzati via in 30 secondi di scossa","7","0","0","111","18","0","1"
"autostrada incompiuta avrà causato effetto diga aumentando i danni nelle zone colpite #marche #senigallia #alluvione","6","7","0","117","15","3","1"
"L'allerta meteo si da sempre dopo che c'è stato un morto giusto?Che vergogna!#AlluvioneGenova","2","3","1","94","16","0","1"
"#Senigallia 3 gazebo nelle zone colpite dalle ore 8 alle ore 20 x aiuto compilazione moduli danni #allertameteoMAR","10","2","0","114","18","2","1"
"Cazzo il terremoto?3 morti.","2","1","0","27","5","0","1"
"#Terremoto Rainews: crollate completamente due torri di Finale Emilia.","5","2","0","70","9","1","1"
"Terremoto in Abruzzo: diverse vittime e danni ingenti http://snipurl.com/fbtjp","4","0","0","78","12","0","1"
"@emanuelefiano: #terremoto in provincia di Ferrara 4 morti","3","2","0","60","8","1","1"
"6 morti e 50 feriti  #terremoto","2","1","0","31","6","1","1"
"Terremoto - dispersi ancora tra i 20 e i 30 http://tinyurl.com/cugkah","3","0","0","69","13","0","1"
"_Ricordiamoci che le vittime del #terremoto sono anche e soprattutto morti sul lavoro.","2","4","0","86","13","1","1"
"RIP ai morti con il #terremoto, a me è bastato già quello dell'Aquila... #Pescara","3","3","2","83","14","2","1"
"Gravi danni a finale #terremoto","2","1","0","31","5","1","1"
